종목코드,종목명,YMD,Y,M,Q,YM,YQ,재무제표구분코드,재무제표구분코드명,기업매출금액,기업영업이익,포괄손익계산금액,기업당기순이익,기업총자산금액,기업총부채금액,기업총자본금액,기업자본금액,재무제표부채비율
009680,모토닉,2015-12-31,2015,12,4,2015-12,2015-4,ifrs_SeparateMember,별도요약재무제표,190845602952,5346640100,14638082174,11977878192,424152336004,39705386839,384446949165,0,10.3279235081
009680,모토닉,2016-12-31,2016,12,4,2016-12,2016-4,ifrs_ConsolidatedMember,연결요약재무제표,195300520053,2368561173,21004945919,21748573670,433121254641,41417185852,391704068789,0,10.5735909203
009680,모토닉,2016-12-31,2016,12,4,2016-12,2016-4,ifrs_SeparateMember,별도요약재무제표,182110457806,754110357,20961456757,16651244773,429295064373,37424512244,391870552129,0,9.5502231644
009680,모토닉,2017-12-31,2017,12,4,2017-12,2017-4,ifrs_ConsolidatedMember,연결요약재무제표,211531507486,12753296810,17188721141,12696962259,431546721170,35836090005,395710631165,16500000000,9.0561352621
009680,모토닉,2017-12-31,2017,12,4,2017-12,2017-4,ifrs_SeparateMember,별도요약재무제표,201352455832,11238387610,17429143151,13730031116,429710113931,32178452110,397531661821,16500000000,8.0945633268
009680,모토닉,2018-12-31,2018,12,4,2018-12,2018-4,ifrs_ConsolidatedMember,연결요약재무제표,195253284769,7242336578,12676231466,9786975804,434168419258,39010317619,395158101639,16500000000,9.8720784054
009680,모토닉,2018-12-31,2018,12,4,2018-12,2018-4,ifrs_SeparateMember,별도요약재무제표,187940437393,7587291899,13195707974,9924640899,433308276642,36162768477,397145508165,16500000000,9.1056722872
009680,모토닉,2019-12-31,2019,12,4,2019-12,2019-4,ifrs_ConsolidatedMember,연결요약재무제표,207639235497,9695919016,14513674629,11354807647,440900555804,32950954575,407949601229,16500000000,8.0772121055
009680,모토닉,2019-12-31,2019,12,4,2019-12,2019-4,ifrs_SeparateMember,별도요약재무제표,202275905078,11176469033,13531168040,9606526488,438252302266,32324127475,405928174791,16500000000,7.9630164848
034120,SBS,2015-12-31,2015,12,4,2015-12,2015-4,ifrs_ConsolidatedMember,연결요약재무제표,792884228900,42152487470,42811901322,34884042815,934369945679,366142256239,568227689440,91262910000,64.4358349731
034120,SBS,2015-12-31,2015,12,4,2015-12,2015-4,ifrs_SeparateMember,별도요약재무제표,772594035104,40311491363,41879161664,34592270622,933033827908,363923608262,569110219646,91262910000,63.9460680373
034120,SBS,2016-12-31,2016,12,4,2016-12,2016-4,ifrs_ConsolidatedMember,연결요약재무제표,829073609370,-7653963504,-65010017,-510037760,894153403179,353378690823,540774712356,91262910000,65.3467484238
034120,SBS,2016-12-31,2016,12,4,2016-12,2016-4,ifrs_SeparateMember,별도요약재무제표,798556102107,-8910315237,-1776520849,-1085800703,895673723343,352861863060,542811860283,91262910000,65.0062920283
034120,SBS,2017-12-31,2017,12,4,2017-12,2017-4,ifrs_ConsolidatedMember,연결요약재무제표,773225039668,18665882540,20273260388,15885507426,1092031606290,529039328083,562992278207,91262910000,93.9691979023
034120,SBS,2017-12-31,2017,12,4,2017-12,2017-4,ifrs_SeparateMember,별도요약재무제표,737690106322,14007944893,17233758197,14014096402,1043991727118,486206097165,557785629953,91262910000,87.1671966892
034120,SBS,2018-12-31,2018,12,4,2018-12,2018-4,ifrs_ConsolidatedMember,연결요약재무제표,914043241501,5085207350,7946689622,5837906448,957646530721,389164324106,568482206615,91262910000,68.4567290898
034120,SBS,2018-12-31,2018,12,4,2018-12,2018-4,ifrs_SeparateMember,별도요약재무제표,872490410111,689948343,2719056727,1501180260,901859061836,341146013119,560713048717,91262910000,60.8414614034
034120,SBS,2019-12-31,2019,12,4,2019-12,2019-4,ifrs_ConsolidatedMember,연결요약재무제표,817664243542,12579354049,27361678699,20934114760,1247762887743,600644858646,647118029097,91262910000,92.8184398577
034120,SBS,2019-12-31,2019,12,4,2019-12,2019-4,ifrs_SeparateMember,별도요약재무제표,750481927755,5984906051,4707911304,3278960312,1076011718329,515302793617,560708924712,91262910000,91.9020138446
082740,HSD엔진,2015-12-31,2015,12,4,2015-12,2015-4,ifrs_ConsolidatedMember,연결요약재무제표,693645086189,-63753576512,-165703896095,-125442489291,1406041510684,831368788555,574672722129,0,144.6682183687
082740,HSD엔진,2015-12-31,2015,12,4,2015-12,2015-4,ifrs_SeparateMember,별도요약재무제표,692276966777,-62950600981,-174484051739,-134427816494,1355773319203,817199696460,538573622743,0,151.7340734769
082740,HSD엔진,2016-12-31,2016,12,4,2016-12,2016-4,ifrs_ConsolidatedMember,연결요약재무제표,802916582708,4237273578,-187794073787,-181226463337,1356449525065,822184663543,534264861522,0,153.8908363168
082740,HSD엔진,2016-12-31,2016,12,4,2016-12,2016-4,ifrs_SeparateMember,별도요약재무제표,804680106134,10240332786,-35167748221,-28793277404,1363026957047,811982092340,551044864707,0,147.3531729166
082740,HSD엔진,2017-12-31,2017,12,4,2017-12,2017-4,ifrs_ConsolidatedMember,연결요약재무제표,768870296519,13477423176,-4892422411,-10343239654,1231347086984,688177157872,543169929112,69500000000,126.696475815
082740,HSD엔진,2017-12-31,2017,12,4,2017-12,2017-4,ifrs_SeparateMember,별도요약재무제표,761831506520,8258576317,-10262967893,-14159762072,1238012246816,682047132314,555965114502,69500000000,122.6780448131
082740,HSD엔진,2018-12-31,2018,12,4,2018-12,2018-4,ifrs_ConsolidatedMember,연결요약재무제표,511302114055,-35326999804,-29589714915,-18680215762,743406486181,512377525529,231028960652,32947142000,221.7806477954
082740,HSD엔진,2018-12-31,2018,12,4,2018-12,2018-4,ifrs_SeparateMember,별도요약재무제표,509321424662,-36540937196,-30337136773,-20481982549,752885123545,510811364162,242073759383,32947142000,211.0147607341
082740,HSD엔진,2019-12-31,2019,12,4,2019-12,2019-4,ifrs_ConsolidatedMember,연결요약재무제표,674278133124,-21837810975,-45746508178,-41444357903,830139139349,641618851202,188520288147,32947142000,340.3447223153
082740,HSD엔진,2019-12-31,2019,12,4,2019-12,2019-4,ifrs_SeparateMember,별도요약재무제표,673324747303,-21676019044,-59472351998,-55096569891,825575151624,639866291772,185708859852,32947142000,344.5534544135
000700,유수홀딩스,2015-12-31,2015,12,4,2015-12,2015-4,ifrs_ConsolidatedMember,연결요약재무제표,516368007864,67192445704,70352494038,47475305297,464546228823,197438183129,267108045694,65104530000,73.9169734165
000700,유수홀딩스,2015-12-31,2015,12,4,2015-12,2015-4,ifrs_SeparateMember,별도요약재무제표,16049026206,5800705813,2957222731,2947919223,274463604613,96232171660,178231432953,65104530000,53.9928171286
000700,유수홀딩스,2016-12-31,2016,12,4,2016-12,2016-4,ifrs_ConsolidatedMember,연결요약재무제표,446966931972,18434784488,19543286590,7248429202,473581039781,198317280450,275263759331,65104530000,72.0462733387
000700,유수홀딩스,2016-12-31,2016,12,4,2016-12,2016-4,ifrs_SeparateMember,별도요약재무제표,17616638140,7310261177,3815282523,3102912774,273808142629,94017352395,179790790234,65104530000,52.2926409482
000700,유수홀딩스,2017-12-31,2017,12,4,2017-12,2017-4,ifrs_ConsolidatedMember,연결요약재무제표,433552428977,57913544423,40384191133,22352354960,520624313058,228424580243,292199732815,65104530000,78.174123584
000700,유수홀딩스,2017-12-31,2017,12,4,2017-12,2017-4,ifrs_SeparateMember,별도요약재무제표,14988179409,4518151294,-4783573647,-10597456278,270213781501,101806467971,168407313530,65104530000,60.4525218276
000700,유수홀딩스,2018-12-31,2018,12,4,2018-12,2018-4,ifrs_ConsolidatedMember,연결요약재무제표,384328006605,32609871445,35384972682,25230851597,541149250545,209504287155,331644963390,65104530000,63.1712554937
000700,유수홀딩스,2018-12-31,2018,12,4,2018-12,2018-4,ifrs_SeparateMember,별도요약재무제표,15129474254,5074301495,-25933594358,-25043273244,276045943561,118181097982,157864845579,65104530000,74.862200985
000700,유수홀딩스,2019-12-31,2019,12,4,2019-12,2019-4,ifrs_ConsolidatedMember,연결요약재무제표,0,-7814058317,-7549826507,-2460450006,521957790172,193360416885,328597373287,65104530000,58.8441760659
000700,유수홀딩스,2019-12-31,2019,12,4,2019-12,2019-4,ifrs_SeparateMember,별도요약재무제표,0,4925163896,1849875026,18409243449,282692094362,106735118874,175956975488,65104530000,60.6597826417
029530,신도리코,2015-12-31,2015,12,4,2015-12,2015-4,ifrs_ConsolidatedMember,연결요약재무제표,500503730109,6543357838,19604715607,9354846549,929282858015,109047052309,820235805706,50400145000,13.2945979132
029530,신도리코,2015-12-31,2015,12,4,2015-12,2015-4,ifrs_SeparateMember,별도요약재무제표,474963360053,7063329609,20801716345,14301808886,865068719157,44359415724,820709303433,50400145000,5.4050094886
029530,신도리코,2016-12-31,2016,12,4,2016-12,2016-4,ifrs_ConsolidatedMember,연결요약재무제표,507283934955,16262543896,39968506108,31789401578,932198393250,91019126531,841179266719,50400145000,10.8204196337
029530,신도리코,2016-12-31,2016,12,4,2016-12,2016-4,ifrs_SeparateMember,별도요약재무제표,480114247853,13623023200,27139233453,22036020961,897510425727,63252191860,834258233867,50400145000,7.5818480768
029530,신도리코,2017-12-31,2017,12,4,2017-12,2017-4,ifrs_ConsolidatedMember,연결요약재무제표,558437441837,32621677585,38107701079,31678674857,940545761393,84698683162,855847078231,50400145000,9.8964739515
029530,신도리코,2017-12-31,2017,12,4,2017-12,2017-4,ifrs_SeparateMember,별도요약재무제표,531267060325,28715840819,39087848070,32930932118,921617397015,65575096215,856042300800,50400145000,7.6602635353
029530,신도리코,2018-12-31,2018,12,4,2018-12,2018-4,ifrs_ConsolidatedMember,연결요약재무제표,557945581769,24889473201,43589615991,35034112136,950210536985,78654121662,871556415323,50400145000,9.0245588558
029530,신도리코,2018-12-31,2018,12,4,2018-12,2018-4,ifrs_SeparateMember,별도요약재무제표,524068949396,18032535339,36473883384,31635088550,932011633783,63766544692,868245089091,50400145000,7.3443023742
029530,신도리코,2019-12-31,2019,12,4,2019-12,2019-4,ifrs_ConsolidatedMember,연결요약재무제표,427065042452,6275157301,20635035826,14487010503,947504079112,76867463051,870636616061,50400145000,8.8288801129
029530,신도리코,2019-12-31,2019,12,4,2019-12,2019-4,ifrs_SeparateMember,별도요약재무제표,397786844020,2873389342,15800748713,9313443732,935800031113,74845911096,860954120017,50400145000,8.6933681315
025540,한국단자공업,2015-12-31,2015,12,4,2015-12,2015-4,ifrs_ConsolidatedMember,연결요약재무제표,661271369252,82664610954,88050330619,68887117401,703874182164,144235792524,559638389640,0,25.7730340152
025540,한국단자공업,2015-12-31,2015,12,4,2015-12,2015-4,ifrs_SeparateMember,별도요약재무제표,605381376681,68448113482,74031369558,58987861359,640139786198,126080337846,514059448352,0,24.5264119257
025540,한국단자공업,2016-12-31,2016,12,4,2016-12,2016-4,ifrs_ConsolidatedMember,연결요약재무제표,714241350458,90403518374,88556465295,67194972935,821786178369,207377150961,614409027408,0,33.7522955735
025540,한국단자공업,2016-12-31,2016,12,4,2016-12,2016-4,ifrs_SeparateMember,별도요약재무제표,671580654862,77954899930,79142354367,61383932727,764409929249,199332121572,565077807677,0,35.275163679
025540,한국단자공업,2017-12-31,2017,12,4,2017-12,2017-4,ifrs_ConsolidatedMember,연결요약재무제표,744446391461,66145012587,64109405883,49818087354,875170056492,199607353160,675562703332,5207500000,29.5468284699
025540,한국단자공업,2017-12-31,2017,12,4,2017-12,2017-4,ifrs_SeparateMember,별도요약재무제표,716851119973,60921047679,57764824126,43923351032,817318864236,193099444739,624219419497,5207500000,30.9345462041
025540,한국단자공업,2018-12-31,2018,12,4,2018-12,2018-4,ifrs_ConsolidatedMember,연결요약재무제표,746382908961,46197831250,50792719250,39604508875,860534742816,169635830120,690898912696,5207500000,24.5529160638
025540,한국단자공업,2018-12-31,2018,12,4,2018-12,2018-4,ifrs_SeparateMember,별도요약재무제표,721901348775,36219819043,43047824128,33536738876,797186604235,161917592374,635269011861,5207500000,25.4880356748
025540,한국단자공업,2019-12-31,2019,12,4,2019-12,2019-4,ifrs_ConsolidatedMember,연결요약재무제표,772133924961,33514449978,39042373289,31868435110,885601835659,175411367767,710190467892,5207500000,24.699200524
025540,한국단자공업,2019-12-31,2019,12,4,2019-12,2019-4,ifrs_SeparateMember,별도요약재무제표,748119899367,28883419919,30746577728,23648539902,806215016712,160955244358,645259772354,5207500000,24.9442552061
057050,현대홈쇼핑,2015-12-31,2015,12,4,2015-12,2015-4,ifrs_ConsolidatedMember,연결요약재무제표,895978566028,104565921484,146186538404,111106789301,1666364862184,309513831894,1356851030290,0,22.8111874469
057050,현대홈쇼핑,2015-12-31,2015,12,4,2015-12,2015-4,ifrs_SeparateMember,별도요약재무제표,890760608385,110725399633,129437883038,97354815546,1527657110788,286168837131,1241488273657,0,23.05046638
057050,현대홈쇼핑,2016-12-31,2016,12,4,2016-12,2016-4,ifrs_ConsolidatedMember,연결요약재무제표,969434288028,111288132183,174067828918,129458545050,1902995406246,447686489767,1455308916479,0,30.7622996532
057050,현대홈쇼핑,2016-12-31,2016,12,4,2016-12,2016-4,ifrs_SeparateMember,별도요약재무제표,961339683153,132285228796,140125828753,103384394224,1729784204450,415286435271,1314497769179,0,31.5927835717
057050,현대홈쇼핑,2017-12-31,2017,12,4,2017-12,2017-4,ifrs_ConsolidatedMember,연결요약재무제표,1043130142648,125328430146,161770267222,122464406203,1875426918283,330985896397,1544441021886,60000000000,21.4307889849
057050,현대홈쇼핑,2017-12-31,2017,12,4,2017-12,2017-4,ifrs_SeparateMember,별도요약재무제표,1021841020147,149943797621,127366840024,87836433785,1671130950664,300524377699,1370606572965,60000000000,21.9263779721
057050,현대홈쇼핑,2018-12-31,2018,12,4,2018-12,2018-4,ifrs_ConsolidatedMember,연결요약재무제표,1017719940186,112319126932,185586754971,166577808950,2547695055458,863195709723,1684499345735,60000000000,51.243457702
057050,현대홈쇼핑,2018-12-31,2018,12,4,2018-12,2018-4,ifrs_SeparateMember,별도요약재무제표,973453833250,135447133059,119218448527,79814734727,1742871716747,322135684166,1420736032581,60000000000,22.6738589561
057050,현대홈쇼핑,2019-12-31,2019,12,4,2019-12,2019-4,ifrs_ConsolidatedMember,연결요약재무제표,2060366926971,130344227510,125740946152,83168959284,2503844833978,774839980801,1729004853177,60000000000,44.8142166505
057050,현대홈쇼핑,2019-12-31,2019,12,4,2019-12,2019-4,ifrs_SeparateMember,별도요약재무제표,1030416792521,150430251932,98353975695,58833556999,1697081647502,247613842019,1449467805483,60000000000,17.0830867083
002240,고려제강,2015-12-31,2015,12,4,2015-12,2015-4,ifrs_ConsolidatedMember,연결요약재무제표,1473202476824,44349958108,29097614248,18346363930,2425786817262,969758231657,1456028585605,0,66.6029665382
002240,고려제강,2015-12-31,2015,12,4,2015-12,2015-4,ifrs_SeparateMember,별도요약재무제표,509762636850,27487105642,22962806030,0,1354595928910,331702421345,1022893507565,0,32.4278547954
002240,고려제강,2016-12-31,2016,12,4,2016-12,2016-4,ifrs_ConsolidatedMember,연결요약재무제표,1417444526247,37017586322,37680211315,40289726891,2453092337807,970759010319,1482333327488,0,65.4885775228
002240,고려제강,2016-12-31,2016,12,4,2016-12,2016-4,ifrs_SeparateMember,별도요약재무제표,449611059217,23189566392,34846243830,0,1401983391424,354043895943,1047939495481,0,33.784765005
