stock_code,corp_code,corp_name,jurir_no
000080,00150244,하이트진로,1101110028591
011070,00105961,LG이노텍,1101110192180
012750,00158501,에스원,1101110221939
000120,00113410,CJ대한통운,1101110006167
004800,00117188,효성,1101110030497
282330,01263022,BGF리테일,1101116555770
323410,01133217,카카오뱅크,1311110435767
004170,00136378,신세계,1101110028848
039490,00296290,키움증권,1101111867948
006400,00126362,삼성SDI,1101110394174
137310,00854997,에스디바이오센서,1358110191121
145990,00896285,삼양사,1101114720945
000070,00126937,삼양홀딩스,1101110026181
079160,00303873,CJ CGV,1101111673220
005490,00155319,POSCO홀딩스,1746110000741
003240,00153393,태광산업,1101110185276
329180,01390344,현대중공업,2301110312741
018880,00161125,한온시스템,1347110002206
003670,00155276,포스코케미칼,1746110001947
192080,01010110,더블유게임즈,1101114855924
241560,01032486,두산밥캣,1101115402237
007070,00140177,GS리테일,1101110090037
035250,00255619,강원랜드,1449110001666
009540,00164830,한국조선해양,1812110000386
016380,00115676,KG스틸,1101110393308
033780,00244455,케이티앤지,1601110067804
017670,00159023,SK텔레콤,1101110371346
011790,00139889,SKC,1301110001585
006380,00159810,카프로,1101110111825
011210,00106623,현대위아,1942110000125
005090,00125150,SGC에너지,1101110079817
001740,00131780,SK네트웍스,1301110005199
178920,00767460,PI첨단소재,1543110022729
008770,00165680,호텔신라,1101110145519
003000,00123718,부광약품,1101110030405
103140,00684714,풍산,1313110083497
010780,00115977,아이에스동서,1101110208383
009150,00126371,삼성전기,1301110001626
000140,00148993,하이트진로홀딩스,1101110013766
214320,00565154,이노션,1101113229097
093050,00593032,LF,1101113555187
036580,00260408,팜스코,1311110042950
112610,00670340,씨에스윈드,1101113509887
259960,00760971,크래프톤,1101113645772
267250,01205709,HD현대,1701110638661
032830,00126256,삼성생명,1101110005953
020560,00138792,아시아나항공,1101110562804
035720,00258801,카카오,1101111129497
027410,00219097,BGF,1101111105215
030000,00148276,제일기획,1101110139017
069960,00428251,현대백화점,1101112644725
000880,00160588,한화,1101110002959
034730,00181712,SK,1101110769583
049770,00340917,동원F&B,1101112101816
004710,00157399,한솔테크닉스,1101110004682
002030,00138701,아세아,1101110030710
064350,00302926,현대로템,1942110036336
055550,00382199,신한지주,1101112322438
011170,00165413,롯데케미칼,1101110193196
115390,00561866,락앤락,1648110035647
005830,00159102,DB손해보험,1101110095285
024110,00149646,기업은행,1101350000903
019680,00108913,대교,1101110514029
007210,00122898,벽산,1101110113384
003230,00126955,삼양식품,1101110034308
028260,00149655,삼성물산,1101110015762
161390,00937324,한국타이어앤테크놀로지,1101114952093
161890,00939331,한국콜마,1647110030756
114090,00557508,GKL,1101113301457
032350,00231372,롯데관광개발,1101110115504
011200,00164645,HMM,1101110193740
003090,00111810,대웅,1311110000271
402340,01596425,SK스퀘어,1101118077821
006120,00131832,SK디스커버리,1301110005727
000150,00117212,두산,1101110013774
018260,00126186,삼성에스디에스,1101110398556
079430,00300548,현대리바트,1345110034097
000240,00160047,한국앤컴퍼니,1101110034233
000100,00145109,유한양행,1101110014409
020000,00188089,한섬,1101110531578
008560,00163682,메리츠증권,1101110141301
097950,00635134,CJ제일제당,1101113748253
005380,00164742,현대자동차,1101110085450
011780,00106368,금호석유화학,1101110205975
298040,01316245,효성중공업,1101116770154
036460,00261285,한국가스공사,1146710006125
084870,00409672,티비에이치글로벌,1801110346204
008490,00131692,서흥,1243110004252
014830,00159786,유니드,1101110275069
028670,00122737,팬오션,1101110004286
003850,00123143,보령,1101110012560
071840,00158307,롯데하이마트,1101110532633
033240,00146861,자화전자,1501110005955
016800,00161709,퍼시스,1101110345630
016360,00104856,삼성증권,1101110335649
000060,00117744,메리츠화재,1101110013328
025860,00107987,남해화학,1101110164717
097230,00633835,HJ중공업,1801110602507
002790,00154462,아모레퍼시픽그룹,1101110026644
000430,00111847,대원강업,1101110015556
105630,00728638,한세실업,1201110484303
047050,00124504,포스코인터내셔널,1101112137358
000670,00141307,영풍,1101110003824
042670,00344287,현대두산인프라코어,1201110234469
000720,00164478,현대건설,1101110007909
033530,00134510,세종공업,1812110000758
029780,00126292,삼성카드,1101110346901
010140,00126478,삼성중공업,1101110168595
139480,00872984,이마트,1101114594952
001450,00164973,현대해상,1101110035893
204320,01042775,HL만도,1313110140776
138930,00858364,BNK금융지주,1801110750893
031430,00234412,신세계인터내셔날,1101110282402
028050,00126308,삼성엔지니어링,1101110240509
060980,00299002,HL홀딩스,1313110030042
068270,00413046,셀트리온,1350110034038
006650,00260383,대한유화,1101110024698
001210,00106395,금호전기,1101110028541
001120,00120076,LX인터내셔널,1101110004632
051900,00356370,LG생활건강,1101112208000
006040,00118026,동원산업,1101110003098
006800,00111722,미래에셋증권,1101110011679
025000,00191472,KPX케미칼,1101110166903
002960,00158149,한국쉘석유,1801110002591
000990,00160843,DB하이텍,1101110026206
108670,00759513,LX하우시스,1101114071207
009420,00162586,한올바이오파마,1641110000397
012330,00164788,현대모비스,1101110215536
007340,00116949,DN오토모티브,1845110000642
007570,00146454,일양약품,1101110124802
078930,00500254,GS,1101113045112
003030,00124197,세아제강지주,1101110118996
084010,00113225,대한제강,1801110003268
007310,00141529,오뚜기,1341110002258
003920,00107598,남양유업,1101110092976
180640,00983040,한진칼,1101115197193
003550,00120021,LG,1101110003543
071050,00432102,한국금융지주,1101112691651
000210,00109693,DL,1101110084915
003490,00113526,대한항공,1101110108484
021240,00170558,코웨이,1101110626501
039130,00269940,하나투어,1101110981038
090430,00583424,아모레퍼시픽,1101113471036
010950,00138279,S-Oil,1101110189955
051910,00356361,LG화학,1101112207995
034220,00105873,LG디스플레이,1101110393134
086790,00547583,하나금융지주,1101113352004
251270,00904672,넷마블,1101114731299
005940,00120182,NH투자증권,1101110098130
002380,00105271,케이씨씨,1101110221814
001040,00148540,CJ,1101110015639
047810,00309503,한국항공우주,1101111827570
010130,00102858,고려아연,1101110168404
047040,00124540,대우건설,1101112137895
352820,01204056,하이브,1101113166546
005300,00120571,롯데칠성음료,1101110003684
000270,00106641,기아,1101110037998
207940,00877059,삼성바이오로직스,1201110566317
023530,00120526,롯데쇼핑,1101110000086
012450,00126566,한화에어로스페이스,1942110000480
004990,00120562,롯데지주,1101110076300
373220,01515323,LG에너지솔루션,1101117701356
000030,00254045,우리은행,1101110023393
066570,00401731,LG전자,1101112487050
017800,00164724,현대엘리베이터,1344110001519
035420,00266961,NAVER,1101111707178
003450,00164876,케이비증권,1101110042476
073240,00481454,금호타이어,1101112810590
034020,00159616,두산에너빌리티,1942110000943
008930,00161426,한미사이언스,1348110003187
042660,00111704,대우조선해양,1101112095837
009830,00162461,한화솔루션,1101110360935
014680,00140955,한솔케미칼,1101110270895
326030,00878696,에스케이바이오팜,1101114570720
030200,00190321,케이티,1101111468754
086280,00360595,현대글로비스,1101112177388
014820,00132637,동원시스템즈,1341110011712
007690,00104388,국도화학,1101110126642
036570,00261443,엔씨소프트,1101111387748
001430,00106669,세아베스틸지주,1101110035794
004370,00108241,농심,1101110057574
008040,00137252,사조동아원,1244110000662
079980,00362238,휴비스,1101112102070
010120,00105855,엘에스일렉트릭,1101110520076
005930,00126380,삼성전자,1301110006246
096760,00632304,JW홀딩스,1101113710468
001130,00113243,대한제분,1101110003733
