기업명,기업코드,ESG등급,환경,사회,지배구조,평가년도
삼성공조,006660,B이하,B+,B이하,B이하,2015
삼성SDI,006400,A,B+,A,A+,2015
삼부토건,001470,B이하,C,B이하,B이하,2015
사조오양,006090,B이하,C,B이하,B이하,2015
빙그레,005180,B이하,B,B이하,B이하,2015
사조씨푸드,014710,B이하,B,B이하,B이하,2015
사조산업,007160,B이하,B,B이하,B이하,2015
사조동아원,008040,B이하,B,B이하,B이하,2015
사조대림,003960,B이하,C,B이하,B이하,2015
미원화학,134380,B이하,C,B이하,B이하,2015
롯데하이마트,071840,B+,B+,B+,B이하,2015
미원상사,002840,B이하,C,B이하,B이하,2015
디티알오토모티브,,B이하,C,B이하,B이하,2015
포스코강판,,B+,B,B+,B+,2015
비상교육,100220,B이하,C,B이하,B이하,2015
한솔홀딩스,004150,B이하,B,B이하,B이하,2015
보령제약,,B이하,C,B이하,B이하,2015
인팩,023810,B이하,B,B이하,B이하,2015
부산도시가스,,B이하,B,B+,B이하,2015
부국철강,026940,B이하,C,B이하,B이하,2015
부국증권,001270,B이하,B,B이하,B이하,2015
부광약품,003000,B이하,B,B이하,B이하,2015
보해양조,000890,B이하,C,B이하,B이하,2015
보루네오가구,,B이하,C,B이하,B이하,2015
범양건영,002410,B이하,C,B이하,B이하,2015
보락,002760,B이하,B,B이하,B이하,2015
사조해표,,B이하,C,B이하,B이하,2015
벽산,007210,B이하,D,B이하,B이하,2015
백산,035150,B이하,B,B이하,B이하,2015
백광소재,,B이하,C,B이하,B이하,2015
백광산업,001340,B이하,B,B이하,B+,2015
부산주공,005030,B이하,B+,B이하,B+,2015
방림,003610,B이하,C,B이하,B이하,2015
미창석유공업,,B이하,B,B이하,B이하,2015
포스코대우,,B이하,B+,B+,B이하,2015
롯데지주,004990,B+,C,B+,A,2015
롯데정밀화학,004000,B+,B,B+,B+,2015
롯데쇼핑,023530,B이하,C,B이하,A,2015
메리츠금융지주,138040,B이하,A,B이하,B이하,2015
무림페이퍼,009200,B이하,B,B이하,B+,2015
무림P&P,009580,B이하,C,B이하,B+,2015
모나미,005360,B이하,C,B이하,B이하,2015
마니커,027740,B이하,C,B이하,B이하,2015
모나리자,012690,B이하,C,B이하,B이하,2015
명문제약,017180,B이하,B,B이하,B이하,2015
메리츠화재,000060,B+,A,B+,B이하,2015
메리츠종금증권,,B이하,A+,B이하,B이하,2015
메디플란트,,B이하,C,B이하,B이하,2015
롯데손해보험,000400,B+,B+,A,B이하,2015
만호제강,001080,B이하,B,B이하,B이하,2015
포스코플랜텍,,B+,C,A,B+,2015
한미반도체,042700,B이하,C,B이하,B이하,2015
풀무원,017810,B+,B+,B+,B+,2015
한솔아트원제지,,B이하,C,B이하,B+,2015
한신기계공업,,B이하,C,B이하,B이하,2015
한신공영,004960,B이하,B,B이하,B이하,2015
한솔홈데코,025750,B이하,C,B+,B+,2015
무학,033920,B이하,C,B이하,B이하,2015
문배철강,008420,B이하,B,B이하,B이하,2015
미래산업,025560,B이하,B,B이하,B이하,2015
미래아이앤지,007120,B이하,C,B이하,B이하,2015
롯데관광개발,032350,B이하,C,B이하,B이하,2015
락앤락,115390,B이하,B+,B이하,B이하,2015
디피씨,,B이하,B+,B이하,B이하,2015
디와이,013570,B이하,B,B이하,B이하,2015
롯데케미칼,011170,A,B,A+,A+,2015
디아이씨,092200,B이하,B,B이하,B이하,2015
디아이,003160,B이하,B,B이하,B이하,2015
디씨엠,024090,B이하,C,B이하,B이하,2015
두산중공업,,A,B+,A,A,2015
폴루스바이오팜,,B이하,B,B이하,B이하,2015
두산인프라코어,,A,A,A,A,2015
두산엔진,,A,A,A,B+,2015
롯데칠성음료,,B+,B,A,A,2015
롯데푸드,,B이하,D,B이하,B+,2015
미래에셋증권,006800,B이하,B+,B+,B이하,2015
모토닉,009680,B이하,B,B이하,B이하,2015
미래에셋대우,,B+,A+,B이하,B이하,2015
광동제약,009290,B이하,B,B이하,B이하,2015
부산산업,011390,B이하,B,B이하,B이하,2015
고려제강,002240,B이하,B,B이하,B+,2015
대구백화점,006370,B이하,B,B이하,B이하,2015
대상,001680,B이하,C,B이하,B이하,2015
대림통상,006570,B이하,C,B이하,B이하,2015
대림산업,,B+,B,B+,A,2015
대동전자,008110,B이하,C,B이하,B이하,2015
대한전선,001440,B이하,D,B이하,B+,2015
대동공업,,B이하,C,B이하,B이하,2015
대덕전자,353200,B이하,B,B이하,B이하,2015
대덕GDS,,B이하,C,B이하,B+,2015
대교,019680,B이하,A,B이하,B이하,2015
대성산업,128820,B이하,B,B이하,B+,2015
대경기계기술,,B이하,B,B이하,B이하,2015
다우인큐브,,B이하,B,B이하,B이하,2015
대성홀딩스,016710,B이하,B,B이하,B이하,2015
대신증권,003540,B+,A,B이하,B이하,2015
대양금속,009190,B이하,C,B이하,B이하,2015
대영포장,014160,B이하,C,B이하,B이하,2015
대한유화,006650,B이하,C,B이하,B+,2015
대한방직,001070,B이하,B,B이하,B이하,2015
대상홀딩스,084690,B이하,C,B이하,B이하,2015
대성에너지,117580,B이하,C,B이하,B이하,2015
대창,012800,B이하,C,B이하,B+,2015
동양생명,082640,B+,A,B+,B이하,2015
동일고무벨트,163560,B이하,C,B이하,B이하,2015
동원시스템즈,014820,B이하,C,B이하,B이하,2015
동원수산,030720,B이하,B,B이하,B이하,2015
동원산업,006040,B이하,B,B+,B이하,2015
동원금속,018500,B이하,B,B이하,B이하,2015
동원,,B이하,C,B이하,B이하,2015
동아쏘시오홀딩스,000640,B이하,B,B이하,B이하,2015
동양철관,008970,B이하,C,B이하,B이하,2015
동양물산기업,,B이하,B,B이하,B이하,2015
대성합동지주,,B이하,B,B이하,B이하,2015
동양고속,084670,B이하,C,B이하,B이하,2015
동아지질,028100,B이하,C,B이하,B이하,2015
동아에스티,170900,B이하,B+,B이하,B이하,2015
동아에스텍,,B이하,B,B이하,B이하,2015
대한제분,001130,B이하,C,B이하,B+,2015
대한제당,001790,B이하,B+,B이하,B이하,2015
대한제강,084010,B이하,B,B이하,B+,2015
대림비앤코,,B이하,C,B이하,B이하,2015
대창단조,015230,B이하,B,B이하,B+,2015
대유플러스,000300,B이하,C,B이하,B+,2015
동일산업,004890,B이하,B,B이하,B+,2015
이아이디,093230,B이하,C,B이하,B이하,2015
유엔젤,072130,B이하,B,B이하,B이하,2015
유양디앤유,,B이하,B,B이하,B이하,2015
유안타증권,003470,B이하,B,B이하,B이하,2015
유수홀딩스,000700,B이하,B,B이하,B이하,2015
유성기업,002920,B이하,B,B이하,B이하,2015
유니퀘스트,077500,B이하,B+,B이하,B이하,2015
유니온머티리얼,047400,B이하,C,B이하,B+,2015
이수화학,005950,B이하,C,B+,B이하,2015
유니드,014830,B이하,C,B이하,B+,2015
유유제약,000220,B이하,C,B이하,B이하,2015
일동홀딩스,000230,B이하,B+,B이하,B이하,2015
일진다이아,081000,B이하,C,B이하,B이하,2015
일정실업,008500,B이하,C,B이하,B이하,2015
일양약품,007570,B이하,B,B이하,B이하,2015
일신석재,007110,B이하,C,B이하,B이하,2015
일신방직,003200,B이하,B+,B이하,B이하,2015
일성신약,003120,B이하,B,B이하,B이하,2015
고려아연,010130,B+,B,B+,B+,2015
이스타코,015020,B이하,C,B이하,B이하,2015
유한양행,000100,B+,B+,B이하,B+,2015
대유에이텍,002880,B이하,C,B이하,B이하,2015
대우건설,047040,B이하,D,B+,A,2015
대원화성,024890,B이하,B,B이하,B+,2015
대원제약,003220,B이하,B+,B이하,B이하,2015
대원전선,006340,B이하,C,B이하,B이하,2015
대원강업,000430,B이하,C,B이하,B+,2015
대웅제약,069620,B이하,C,B+,B이하,2015
대웅,003090,B이하,C,B이하,B이하,2015
대우조선해양,042660,B+,B,B이하,A,2015
대우부품,009320,B이하,C,B이하,B이하,2015
한화손해보험,000370,B이하,B,B+,B이하,2015
유화증권,003460,B이하,B+,B이하,B이하,2015
영풍제지,006740,B이하,B,B이하,B이하,2015
한화테크윈,,B+,B+,B+,A,2015
유진증권,,B이하,B+,B이하,B이하,2015
이수페타시스,007660,B이하,C,B이하,B+,2015
이마트,139480,B이하,C,B이하,A,2015
이구산업,025820,B이하,B+,B이하,B+,2015
이건산업,008250,B이하,B,B이하,B이하,2015
율촌화학,008730,B이하,C,B이하,B이하,2015
동일방직,,B이하,C,B이하,B이하,2015
일성건설,013360,B이하,C,B이하,B이하,2015
동원F&B,049770,B이하,C,B이하,B이하,2015
SG충방,,B이하,C,B이하,B이하,2015
계룡건설산업,,B이하,B,B이하,B이하,2015
동일제지,,B이하,C,B이하,B+,2015
SBS미디어홀딩스,,B이하,B,B이하,B이하,2015
SKC,011790,A,B+,A,A,2015
SK(합병소멸),,B이하,B+,B+,B이하,2015
SK,034730,A,A,A,A,2015
SIMPAC,009160,B이하,B,B이하,B이하,2015
SH에너지화학,002360,B이하,B,B이하,B이하,2015
SG세계물산,004060,B이하,C,B이하,B이하,2015
금호타이어,073240,B이하,C,B+,B+,2015
SBS,034120,B이하,B+,B이하,B이하,2015
SK네트웍스,001740,B이하,B+,B+,B이하,2015
S-Oil,010950,A,A,A+,A,2015
S&T홀딩스,,B이하,B,B이하,B이하,2015
S&T중공업,,B이하,B,B이하,B+,2015
S&T모티브,,B이하,B,B이하,B+,2015
S&TC,,B이하,B,B이하,B이하,2015
OCI,010060,B+,B,A,B이하,2015
고려개발,,B이하,C,B+,B이하,2015
기신정기,092440,B이하,B,B이하,B이하,2015
SK가스,018670,B이하,B+,B이하,B이하,2015
넥센타이어,002350,B이하,C,B이하,B+,2015
다우기술,023590,B이하,B,B이하,B이하,2015
금양,001570,B이하,C,B이하,B이하,2015
금호석유화학,,B이하,C,B이하,B+,2015
계양전기,012200,B이하,B,B이하,B이하,2015
남성,004270,B이하,C,B이하,B이하,2015
녹십자,006280,B이하,B,B+,B이하,2015
노루홀딩스,000320,B이하,B,B이하,B이하,2015
노루페인트,090350,B이하,B,B이하,B이하,2015
넥센,005720,B이하,B,B이하,B이하,2015
기아자동차,,B+,B,A,B+,2015
남해화학,025860,B이하,C,B이하,B+,2015
남양유업,003920,B이하,C,B이하,B이하,2015
남선알미늄,008350,B이하,C,B+,B이하,2015
금호전기,001210,B이하,C,B이하,B이하,2015
나노메딕스,,B이하,C,B이하,B이하,2015
깨끗한나라,004540,B이하,B,B이하,B+,2015
까뮤이앤씨,013700,B이하,B,B이하,B이하,2015
기업은행,024110,B+,A,B+,B이하,2015
한화케미칼,,B이하,C,B+,B이하,2015
고려산업,002140,B이하,B,B이하,B이하,2015
SK디스커버리,006120,B+,B+,B+,B+,2015
덕성,004830,B이하,C,B이하,B이하,2015
동부제철,,B+,B,B+,B+,2015
동방아그로,007590,B이하,B,B이하,B이하,2015
동방,004140,B이하,B,B이하,B이하,2015
동남합성,023450,B이하,C,B이하,B이하,2015
동국제강,001230,B이하,C,B이하,B+,2015
동국실업,,B이하,C,B이하,B이하,2015
도화엔지니어링,002150,B이하,B,B이하,B이하,2015
동성코퍼레이션,,B이하,C,B이하,B이하,2015
더존비즈온,012510,B이하,B,B이하,B이하,2015
농심홀딩스,072710,B이하,B,B이하,B이하,2015
대호에이엘,069460,B이하,C,B이하,B+,2015
대현,016090,B이하,B,B이하,B이하,2015
대한화섬,003830,B이하,B,B이하,B+,2015
대한해운,005880,B이하,C,B이하,B이하,2015
대한항공,003490,B이하,D,B+,A,2015
동성제약,002210,B이하,B,B이하,B이하,2015
동성화학,,B이하,B,B이하,B이하,2015
경인전자,009140,B이하,B,B이하,B이하,2015
도레이케미칼,,B이하,C,B+,B+,2015
덕양산업,024900,B이하,B,B이하,B이하,2015
농심,004370,B이하,C,B이하,B+,2015
강남제비스코,000860,B이하,C,B이하,B이하,2015
강원랜드,035250,B+,A,B+,B+,2015
녹십자홀딩스,005250,B이하,C,B+,B이하,2015
경인양행,012610,B이하,B,B이하,B이하,2015
경방,000050,B이하,B,B이하,B이하,2015
경동인베스트,012320,B이하,B,B이하,B이하,2015
경동나비엔,009450,B이하,C,B이하,B이하,2015
경농,002100,B이하,C,B이하,B이하,2015
갤럭시아에스엠,011420,B이하,C,B이하,B이하,2015
경남에너지,,B이하,B,B이하,B이하,2015
SK이노베이션,096770,A,B+,A,A,2015
가온전선,000500,B이하,B+,B이하,B이하,2015
WISCOM,024070,B이하,B,B이하,B이하,2015
TCC동양,,B이하,C,B이하,B+,2015
SPC삼립,005610,B이하,C,B이하,B이하,2015
SK하이닉스,000660,B+,B+,B+,B+,2015
SK텔레콤,017670,A,A,A,A,2015
SK증권,001510,B이하,B+,B+,B이하,2015
아티스,,B이하,C,B이하,B이하,2014
삼호,,B+,B,B+,B+,2014
아이에스동서,010780,B이하,B,B이하,B이하,2014
에스엘,005850,B이하,B,B이하,B이하,2014
에넥스,011090,B이하,B,B이하,B이하,2014
애경유화,,B이하,C,B이하,B이하,2014
알보젠코리아,,B이하,B,B이하,B이하,2014
알루코,001780,B이하,C,B이하,B이하,2014
아모레퍼시픽그룹,,B이하,B,B이하,B이하,2014
아주캐피탈,,B이하,B,B이하,B이하,2014
아이에이치큐,,B이하,C,B이하,B이하,2014
아이마켓코리아,122900,B이하,B,B이하,B이하,2014
써니전자,004770,B이하,B,B이하,B이하,2014
아시아나항공,020560,B+,C,A,B+,2014
아세아제지,002310,B이하,C,B이하,B이하,2014
아세아,002030,B이하,C,B+,B+,2014
아비스타,,B이하,C,B이하,B이하,2014
쌍방울,102280,B이하,C,B이하,B이하,2014
쌍용자동차,,B+,B+,B+,B+,2014
신영증권,001720,B이하,B,B이하,B이하,2014
신성이엔지,011930,B이하,C,B이하,B이하,2014
신일산업,,B이하,C,B이하,B이하,2014
삼천리,004690,B+,B+,B+,B+,2014
아남전자,008700,B이하,C,B이하,B이하,2014
신흥,004080,B이하,B,B이하,B이하,2014
신화실업,,B이하,C,B이하,B이하,2014
신한지주,055550,A,A+,A,A,2014
신한,,B이하,C,B이하,B이하,2014
신풍제지,002870,B이하,B,B이하,B+,2014
신풍제약,019170,B이하,B,B이하,B이하,2014
신원,009270,B이하,B,B이하,B이하,2014
신성이엔지,011930,B이하,C,B이하,B이하,2014
신영와코루,005800,B이하,C,B이하,B이하,2014
쌍용양회공업,,B이하,C,B+,B+,2014
신세계푸드,031440,B이하,C,B+,B+,2014
신세계인터내셔날,031430,B+,B,B+,B+,2014
신세계건설,034300,B이하,C,A,B이하,2014
신세계I&C,,B이하,B,B+,B이하,2014
신세계,004170,B+,B+,B+,B+,2014
신성통상,005390,B이하,C,B이하,B이하,2014
아모레퍼시픽,090430,B+,B+,A,B+,2014
삼화전자공업,,B이하,C,B이하,B이하,2014
씨아이테크,004920,B이하,D,B이하,B이하,2014
세원셀론텍,,B이하,C,B이하,B이하,2014
성신양회,004980,B+,B+,B이하,B+,2014
성안,011300,B이하,C,B이하,B이하,2014
수산중공업,017550,B이하,C,B이하,B이하,2014
송원산업,004430,B이하,B,B이하,B+,2014
세하,027970,B이하,B,B이하,B이하,2014
세종공업,033530,B이하,B,B이하,B이하,2014
세이브존I&C,067830,B이하,C,B이하,B이하,2014
세원정공,021820,B이하,B,B이하,B이하,2014
세우글로벌,013000,B이하,C,B이하,B이하,2014
성문전자,014910,B이하,C,B이하,B이하,2014
세아홀딩스,058650,B이하,B,B이하,B이하,2014
세아특수강,019440,B이하,B,B이하,B+,2014
세아제강,306200,B이하,B,B이하,B+,2014
세아베스틸,,B이하,B,B이하,B이하,2014
세방전지,004490,B이하,B,B이하,B+,2014
세방,004360,B이하,B+,B이하,B이하,2014
삼진제약,005500,B이하,B,B이하,B이하,2014
성창기업지주,000180,B이하,C,B이하,B이하,2014
성보화학,003080,B이하,B,B이하,B이하,2014
삼호개발,010960,B이하,B,B이하,B이하,2014
신성에프에이,,B이하,C,B이하,B이하,2014
서울식품공업,,B이하,B,B이하,B이하,2014
신라교역,004970,B이하,B,B이하,B이하,2014
신도리코,029530,B이하,B+,B이하,B이하,2014
샘표,007540,B이하,B,B이하,B이하,2014
선창산업,,B이하,B,B이하,B이하,2014
선진,136490,B이하,C,B이하,B이하,2014
선도전기,007610,B이하,B,B이하,B이하,2014
서흥,008490,B이하,B,B이하,B이하,2014
서원,021050,B이하,B,B이하,B이하,2014
서울도시가스,,B이하,B+,B이하,B이하,2014
삼화왕관,004450,B이하,C,B이하,B이하,2014
서연,007860,B이하,B,B이하,B이하,2014
새론오토모티브,075180,B이하,C,B+,B+,2014
신대양제지,016590,B이하,C,B이하,B이하,2014
상신브레이크,041650,B이하,B,B이하,B이하,2014
삼환기업,,B이하,C,B이하,B이하,2014
삼화페인트공업,,B+,B+,B+,B+,2014
삼화콘덴서공업,,B이하,B,B이하,B이하,2014
삼화전기,009470,B이하,B,B이하,B+,2014
세기상사,002420,B이하,B,B이하,B이하,2014
롯데푸드,,B이하,C,B이하,B+,2014
삼정펄프,009770,B이하,B,B이하,B이하,2014
삼영무역,002810,B이하,B,B이하,B이하,2014
부국증권,001270,B이하,B,B이하,B이하,2014
삼양통상,002170,B이하,B,B이하,B이하,2014
삼일제약,000520,B이하,B,B이하,B이하,2014
코스모신소재,005070,B+,B,B+,B+,2014
삼익THK,004380,B이하,C,B이하,B이하,2014
삼원강재,023000,B이하,C,B이하,B+,2014
삼영화학공업,,B이하,B,B이하,B이하,2014
삼영전자공업,,B이하,B,B이하,B+,2014
삼양홀딩스,000070,B이하,C,B이하,B이하,2014
삼성전기,009150,A+,A,A+,A+,2014
삼양제넥스,,B+,B+,B+,B+,2014
삼성중공업,010140,B+,B,A,A,2014
삼양엔텍,,B이하,C,B이하,B이하,2014
삼양식품,003230,B이하,C,B이하,B이하,2014
삼양사,145990,B+,B,B+,B+,2014
삼아알미늄,006110,B이하,B,B이하,B이하,2014
삼성화재해상보험,,A,A,A,A,2014
삼성카드,029780,B이하,B+,B+,B이하,2014
삼성제약,001360,B이하,B,B이하,B이하,2014
부산도시가스,,B이하,B,B+,B이하,2014
삼성증권,016360,B+,A,A,B이하,2014
삼광글라스,,B이하,B,B이하,B이하,2014
사조오양,006090,B이하,C,B이하,B이하,2014
디티알오토모티브,,B이하,C,B이하,B이하,2014
삼성엔지니어링,028050,A,B+,A,A,2014
삼성생명,032830,A,A,A+,A,2014
삼성물산,028260,B+,B,A,A,2014
삼성공조,006660,B이하,B,B이하,B이하,2014
삼성SDI,006400,A,B+,A,A,2014
삼부토건,001470,B이하,B,B이하,B이하,2014
사조해표,,B이하,B,B이하,B이하,2014
부산산업,011390,B이하,B,B이하,B이하,2014
사조씨푸드,014710,B이하,C,B이하,B이하,2014
삼성전자,005930,A,A,A+,A,2014
사조산업,007160,B이하,C,B이하,B이하,2014
사조동아원,008040,B이하,C,B이하,B이하,2014
사조대림,003960,B이하,C,B이하,B이하,2014
빙그레,005180,B이하,B,B+,B이하,2014
비상교육,100220,B이하,B,B이하,B이하,2014
부산주공,005030,B이하,B,B이하,B+,2014
삼성출판사,068290,B이하,B,B이하,B이하,2014
부국철강,026940,B이하,C,B이하,B이하,2014
무림페이퍼,009200,B이하,C,B이하,B+,2014
미창석유공업,,B이하,B+,B이하,B이하,2014
미원화학,134380,B이하,C,B이하,B이하,2014
보령제약,,B이하,C,B이하,B이하,2014
보락,002760,B이하,B,B이하,B이하,2014
벽산,007210,B이하,B,B이하,B이하,2014
백산,035150,B이하,C,B이하,B이하,2014
백광소재,,B이하,C,B이하,B이하,2014
백광산업,001340,B이하,B,B이하,B+,2014
방림,003610,B이하,B,B이하,B이하,2014
미원홀딩스,107590,B이하,B,B이하,B이하,2014
모토닉,009680,B이하,B,B이하,B이하,2014
무림P&P,009580,B이하,C,B이하,B+,2014
미원상사,002840,B이하,C,B이하,B이하,2014
미래에셋증권,006800,B+,B+,B+,B이하,2014
미래에셋대우,,B+,B+,B+,B+,2014
미래아이앤지,007120,B이하,C,B이하,B이하,2014
미래산업,025560,B이하,B,B이하,B이하,2014
문배철강,008420,B이하,C,B이하,B이하,2014
무학,033920,B이하,B+,B이하,B이하,2014
보해양조,000890,B이하,C,B이하,B이하,2014
모나리자,012690,B이하,C,B이하,B이하,2014
부광약품,003000,B이하,B+,B이하,B이하,2014
롯데하이마트,071840,B+,A,B+,B이하,2014
디와이,013570,B이하,B,B이하,B이하,2014
명문제약,017180,B이하,B,B이하,B이하,2014
메리츠화재,000060,B+,A+,B+,B이하,2014
메리츠종금증권,,B이하,B+,B이하,B이하,2014
메리츠금융지주,138040,B이하,B+,B이하,B이하,2014
메디플란트,,B이하,C,B이하,B이하,2014
만호제강,001080,B이하,B,B이하,B이하,2014
마니커,027740,B이하,C,B이하,B이하,2014
롯데케미칼,011170,A,B+,A,A+,2014
디피씨,,B이하,B,B이하,B이하,2014
모나미,005360,B이하,B,B이하,B이하,2014
롯데칠성음료,,B+,B+,B+,B+,2014
롯데지주,004990,B+,B+,B+,A,2014
롯데정밀화학,004000,B+,B+,B+,B+,2014
롯데쇼핑,023530,A,A,A,A,2014
롯데손해보험,000400,B+,B+,A,B이하,2014
롯데관광개발,032350,B이하,B,B이하,B이하,2014
락앤락,115390,B이하,B+,B이하,B이하,2014
성지건설,,B이하,C,B이하,B이하,2014
티에이치엔,019180,B이하,C,B이하,B이하,2014
삼익악기,002450,B이하,C,B이하,B이하,2014
휴비스,079980,B이하,C,B이하,B이하,2014
한세엠케이,069640,B이하,B,B이하,B이하,2014
디씨엠,024090,B이하,B,B이하,B이하,2014
두산인프라코어,,A,A,A+,A,2014
두산엔진,,A,A,A,B+,2014
두산건설,,B+,B+,A,B+,2014
흥아해운,003280,B이하,B,B이하,B이하,2014
흥국화재,000540,B이하,B,B이하,B이하,2014
휴켐스,,B+,B,B+,B+,2014
화천기계,010660,B이하,B,B이하,B이하,2014
현대백화점,069960,B이하,B+,B+,B이하,2014
휴니드테크놀러지스,,B이하,B,B이하,B이하,2014
휠라코리아,,B이하,B,B이하,B이하,2014
후성,093370,B이하,C,B이하,B이하,2014
효성 ITX,,B이하,B,B+,B이하,2014
효성,004800,B이하,B,B+,B이하,2014
황금에스티,032560,B이하,B,B이하,B이하,2014
환인제약,016580,B이하,B+,B이하,B이하,2014
화천기공,000850,B이하,B,B이하,B이하,2014
휴스틸,005010,B이하,B,B이하,B+,2014
화신,010690,B이하,B,B이하,B이하,2014
한세실업,105630,B이하,B+,B이하,B이하,2014
현대종합상사,,B이하,B+,B+,B이하,2014
화성산업,002460,B이하,B+,B이하,B이하,2014
호텔신라,008770,B이하,C,B이하,B이하,2014
혜인,003010,B이하,B,B이하,B이하,2014
형지엘리트,093240,B이하,C,B이하,B이하,2014
현대홈쇼핑,057050,B이하,B+,B이하,B이하,2014
현대해상,001450,A,A,A,B+,2014
현대하이스코,,B+,B+,B이하,B+,2014
현대차투자증권,,B이하,B,B이하,B이하,2014
화승인더스트리,,B이하,C,B이하,B이하,2014
화승알앤에이,378850,B이하,C,B이하,B+,2014
현대제철,004020,B+,B+,A,B+,2014
현대자동차,,B+,B+,B+,B이하,2014
현대위아,011210,B+,B,B+,B+,2014
현대엘리베이터,,B이하,B,B+,B이하,2014
현대에이치씨엔,,B이하,B,B+,B이하,2014
현대약품,004310,B+,B+,B이하,B+,2014
현대상선,,B이하,B,B이하,B+,2014
현대산업개발,,B이하,B+,B이하,B이하,2014
현대비앤지스틸,004560,B이하,C,B이하,B+,2014
두산중공업,,A,A,A,A,2014
현대미포조선,010620,A,B+,A,A,2014
한세예스24홀딩스,016450,B이하,B,B이하,B이하,2014
한화테크윈,,A,B+,A,A,2014
현대리바트,079430,B이하,B,B이하,B이하,2014
한진해운,,B+,B,B+,B+,2014
현대그린푸드,005440,B이하,B+,B이하,B이하,2014
현대건설,000720,B+,B+,B+,A,2014
현대EP,,B이하,C,B이하,B이하,2014
한화화인케미칼,,B이하,B,B이하,B+,2014
한화투자증권,003530,B이하,B,B이하,B이하,2014
현대글로비스,086280,B이하,B+,B이하,B이하,2014
한신기계공업,,B이하,C,B이하,B이하,2014
한화손해보험,000370,B이하,B+,B이하,B이하,2014
한화생명,088350,B+,A,B이하,B이하,2014
한화갤러리아타임월드,,B이하,B,B+,B이하,2014
한화,000880,B+,B+,A,B+,2014
한창제지,009460,B이하,B,B이하,B이하,2014
한창,005110,B이하,D,B이하,B이하,2014
한화케미칼,,B+,B,A,B+,2014
인팩,023810,B이하,C,B이하,B이하,2014
한진중공업홀딩스,003480,B이하,B+,B이하,B이하,2014
한올바이오파마,009420,B이하,B,B이하,B이하,2014
한진,002320,B이하,C,B이하,B이하,2014
현대모비스,012330,A,B+,A,A,2014
한전산업,130660,B이하,B,B이하,B이하,2014
한전기술,052690,B이하,B,B이하,B+,2014
한전KPS,051600,B+,B,B+,B+,2014
한일철강,002220,B이하,C,B이하,B이하,2014
한일시멘트,300720,B이하,B,B이하,B+,2014
한익스프레스,014130,B이하,B,B이하,B이하,2014
한온시스템,018880,B이하,C,B+,B+,2014
한양증권,001750,B이하,B,B이하,B이하,2014
한신공영,004960,B이하,B,B이하,B이하,2014
한진중공업,,B이하,B,B이하,B+,2014
한솔홈데코,025750,B이하,C,B이하,B+,2014
한솔홀딩스,004150,B+,B,B+,B+,2014
한솔피엔에스,,B이하,C,B이하,B이하,2014
한솔테크닉스,004710,B이하,B,B이하,B이하,2014
한솔케미칼,014680,B+,B+,B이하,B+,2014
한솔아트원제지,,B이하,C,B이하,B+,2014
한솔로지스틱스,009180,B이하,C,B이하,B이하,2014
현대중공업,329180,A,A,B+,A,2014
코아스,071950,B이하,B,B이하,B이하,2014
디아이씨,092200,B이하,B,B이하,B이하,2014
한독,002390,B+,B+,B이하,B+,2014
한농화성,011500,B이하,B,B이하,B이하,2014
한샘,009240,B이하,B+,B이하,B이하,2014
한미약품,128940,B+,B+,B+,B+,2014
한미사이언스,008930,B이하,B,B이하,B이하,2014
한미반도체,042700,B이하,B,B이하,B이하,2014
한미글로벌,053690,B이하,B,B이하,B이하,2014
한라홀딩스,,B+,B+,B이하,B+,2014
한라,,B이하,B,B+,B이하,2014
한국화장품제조,003350,B이하,B,B이하,B이하,2014
한국철강,104700,B+,B+,B이하,B+,2014
한국카본,017960,B이하,B,B이하,B이하,2014
한국화장품,123690,B이하,C,B이하,B이하,2014
한국항공우주,047810,B+,B+,B이하,B+,2014
한국프랜지공업,,B이하,C,B이하,B이하,2014
한국특수형강,,B이하,B,B이하,B이하,2014
한국타이어월드와이드,,B+,B+,A,B+,2014
한국타이어,,A,B+,A,A,2014
한국콜마홀딩스,024720,B이하,C,B이하,B이하,2014
한성기업,003680,B이하,C,B이하,B이하,2014
한국주강,025890,B이하,C,B이하,B이하,2014
한섬,020000,B이하,B,B이하,B이하,2014
한국석유공업,,B이하,B,B이하,B이하,2014
한국단자공업,,B이하,B,B이하,B이하,2014
한국종합기술,023350,B이하,B,B이하,B이하,2014
한국제지,,B이하,B,B이하,B+,2014
한국전자홀딩스,006200,B이하,C,B이하,B이하,2014
한국전력공사,,A,A,B+,A,2014
한국유리공업,,B이하,C,B이하,B이하,2014
한국쉘석유,002960,B+,B+,B+,B+,2014
한국수출포장공업,,B이하,B,B이하,B+,2014
한국내화,010040,B이하,C,B이하,B이하,2014
하나투어,039130,B이하,B,B이하,B이하,2014
한국주철관공업,,B이하,B,B이하,B이하,2014
한국금융지주,071050,B이하,A,B이하,B이하,2014
한국공항,005430,B이하,C,B+,B이하,2014
한국가스공사,036460,A,A,A,A,2014
하이트진로홀딩스,000140,B이하,B,B이하,B이하,2014
하이트진로,000080,B+,B+,B이하,B+,2014
하이트론씨스템즈,,B이하,B,B이하,B이하,2014
하이스틸,071090,B이하,B,B이하,B이하,2014
한국콜마,161890,B이하,C,B이하,B이하,2014
하나금융지주,086790,A,A+,B+,B이하,2014
필룩스,,B이하,B,B이하,B이하,2014
평화홀딩스,010770,B이하,B,B이하,B이하,2014
